total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Oligodendrocyte precursor cells,Dinner,2
10.34,1.66,Male,No,Oligodendrocyte precursor cells,Dinner,3
21.01,3.5,Male,No,Oligodendrocyte precursor cells,Dinner,3
23.68,3.31,Male,No,Oligodendrocyte precursor cells,Dinner,2
24.59,3.61,Female,No,Oligodendrocyte precursor cells,Dinner,4
25.29,4.71,Male,No,Oligodendrocyte precursor cells,Dinner,4
8.77,2,Male,No,Oligodendrocyte precursor cells,Dinner,2
26.88,3.12,Male,No,Oligodendrocyte precursor cells,Dinner,4
15.04,1.96,Male,No,Oligodendrocyte precursor cells,Dinner,2
14.78,3.23,Male,No,Oligodendrocyte precursor cells,Dinner,2
10.27,1.71,Male,No,Oligodendrocyte precursor cells,Dinner,2
35.26,5,Female,No,Oligodendrocyte precursor cells,Dinner,4
15.42,1.57,Male,No,Oligodendrocyte precursor cells,Dinner,2
18.43,3,Male,No,Oligodendrocyte precursor cells,Dinner,4
14.83,3.02,Female,No,Oligodendrocyte precursor cells,Dinner,2
21.58,3.92,Male,No,Oligodendrocyte precursor cells,Dinner,2
10.33,1.67,Female,No,Oligodendrocyte precursor cells,Dinner,3
16.29,3.71,Male,No,Oligodendrocyte precursor cells,Dinner,3
16.97,3.5,Female,No,Oligodendrocyte precursor cells,Dinner,3
20.65,3.35,Male,No,Microglia,Dinner,3
17.92,4.08,Male,No,Microglia,Dinner,2
20.29,2.75,Female,No,Microglia,Dinner,2
15.77,2.23,Female,No,Microglia,Dinner,2
39.42,7.58,Male,No,Microglia,Dinner,4
19.82,3.18,Male,No,Microglia,Dinner,2
17.81,2.34,Male,No,Microglia,Dinner,4
13.37,2,Male,No,Microglia,Dinner,2
12.69,2,Male,No,Microglia,Dinner,2
21.7,4.3,Male,No,Microglia,Dinner,2
19.65,3,Female,No,Microglia,Dinner,2
9.55,1.45,Male,No,Microglia,Dinner,2
18.35,2.5,Male,No,Microglia,Dinner,4
15.06,3,Female,No,Microglia,Dinner,2
20.69,2.45,Female,No,Microglia,Dinner,4
17.78,3.27,Male,No,Microglia,Dinner,2
24.06,3.6,Male,No,Microglia,Dinner,3
16.31,2,Male,No,Microglia,Dinner,3
16.93,3.07,Female,No,Microglia,Dinner,3
18.69,2.31,Male,No,Microglia,Dinner,3
31.27,5,Male,No,Microglia,Dinner,3
16.04,2.24,Male,No,Microglia,Dinner,3
17.46,2.54,Male,No,Oligodendrocyte precursor cells,Dinner,2
13.94,3.06,Male,No,Oligodendrocyte precursor cells,Dinner,2
9.68,1.32,Male,No,Oligodendrocyte precursor cells,Dinner,2
30.4,5.6,Male,No,Oligodendrocyte precursor cells,Dinner,4
18.29,3,Male,No,Oligodendrocyte precursor cells,Dinner,2
22.23,5,Male,No,Oligodendrocyte precursor cells,Dinner,2
32.4,6,Male,No,Oligodendrocyte precursor cells,Dinner,4
28.55,2.05,Male,No,Oligodendrocyte precursor cells,Dinner,3
18.04,3,Male,No,Oligodendrocyte precursor cells,Dinner,2
12.54,2.5,Male,No,Oligodendrocyte precursor cells,Dinner,2
10.29,2.6,Female,No,Oligodendrocyte precursor cells,Dinner,2
34.81,5.2,Female,No,Oligodendrocyte precursor cells,Dinner,4
9.94,1.56,Male,No,Oligodendrocyte precursor cells,Dinner,2
25.56,4.34,Male,No,Oligodendrocyte precursor cells,Dinner,4
19.49,3.51,Male,No,Oligodendrocyte precursor cells,Dinner,2
38.01,3,Male,Yes,Microglia,Dinner,4
